GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.tasks.dispatcher,AbstractJobsDispatcher,164,130,20,10,45,30,13,7,1,4
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.utils,DateUtils,3,27,0,0,2,5,1,2,1,2
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.tasks.consumer,EdrsSessionConsumer,187,262,20,12,47,68,16,9,3,6
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.tasks.consumer,AbstractGenericConsumer,53,139,2,4,17,42,2,7,0,6
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.tasks.consumer,L0SlicesConsumer,33,258,5,5,7,69,4,6,0,5
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.status,JobRestController,0,96,0,8,0,27,0,9,0,5
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.status,AppStatus.JobStatus,2,164,2,24,1,46,2,27,0,16
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.status,AppStatus,11,90,2,6,5,31,2,13,0,11
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.status.dto,JobStatusDto,0,127,0,12,0,28,0,17,0,11
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.tasks.generator,AbstractJobsGenerator,234,1487,43,84,60,377,42,76,2,51
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.tasks.generator,JobsGeneratorFactory,0,64,0,0,0,15,0,3,0,3
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.tasks.generator,EdrsSessionsJobsGenerator,50,248,7,19,11,63,9,12,2,6
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.tasks.generator,AbstractJobsGenerator.new Object() {...},5,39,0,0,0,2,0,1,0,1
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.tasks.generator,LevelProductsJobsGenerator,0,294,0,6,0,71,0,8,0,5
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.config,ProcessSettings,0,59,0,0,0,25,0,17,0,17
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.config,AppConfig,0,49,0,0,0,12,0,3,0,3
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.config,L0SlicePatternSettings,0,60,0,0,0,25,0,13,0,13
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.config,ThreadPoolTaskSchedulerConfig,0,16,0,0,0,5,0,2,0,2
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.config,JobGeneratorSettings.WaitTempo,9,23,0,0,4,10,1,5,1,5
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.config,JobGeneratorSettings,0,204,1,7,0,50,1,30,0,27
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.config,MetadataConfig,0,6,0,0,0,2,0,2,0,2
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.service,EdrsSessionFileService,0,56,2,2,0,11,2,2,0,2
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.service,XmlConverter,0,50,0,0,0,13,0,6,0,6
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.service.appcatalog,AppCatalogConfiguration,0,49,0,0,0,10,0,3,0,3
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.tasktable.enums,TaskTableInputOrigin,5,43,0,0,0,5,1,3,1,3
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.tasktable.enums,TaskTableOutputDestination,5,43,0,0,0,5,1,3,1,3
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.tasktable.enums,TaskTableTestEnum,5,43,0,0,0,5,1,3,1,3
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.tasktable.enums,TaskTableFileNameType,5,53,0,0,0,6,1,3,1,3
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.tasktable.enums,TaskTableInputMode,5,53,0,0,0,6,1,3,1,3
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.tasktable.enums,TaskTableMandatoryEnum,5,43,0,0,0,5,1,3,1,3
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.service.mqi,OutputProcuderFactory,23,13,0,0,8,5,2,2,2,2
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.service.mqi,MqiConfiguration,0,82,0,0,0,15,0,6,0,6
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.tasktable,TaskTableInputAlternative,0,208,0,22,0,40,0,25,0,14
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.tasktable,TaskTable,8,185,0,20,4,39,2,27,2,17
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.tasktable,TaskTableInputAlternative.TaskTableInputAltKey,0,106,0,14,0,19,0,14,0,7
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.tasktable,TaskTableDynProcParam,12,86,0,12,6,19,3,13,3,7
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.tasktable,TaskTableOuput,16,112,0,14,8,24,4,15,4,8
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.tasktable,TaskTableTask,8,178,0,20,4,37,2,27,2,17
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.tasktable,TaskTableCfgFile,8,69,0,10,4,16,2,11,2,6
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.tasktable,TaskTableInput,10,138,2,16,3,31,2,20,1,12
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.tasktable,TaskTablePool,10,99,0,12,4,23,2,15,2,9
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.l1routing,L1RouteTo,0,69,0,6,0,18,0,10,0,7
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.l1routing,L1RouteFrom,0,92,0,10,0,21,0,14,0,9
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.l1routing,L1Route,0,92,0,10,0,21,0,14,0,9
Spring Boot Docker For Job Generator App,esa.s1pdgs.cpoc.jobgenerator.model.l1routing,L1Routing,0,67,0,6,0,17,0,10,0,7
